"Statistic","CensusYear","County","UNIT","VALUE"
"Actual change since previous census","1956","Co. Dublin","Number","12759"
"Actual change since previous census","1956","Co. Galway","Number","-4651"
"Actual change since previous census","1956","Co. Kerry","Number","-4572"
"Actual change since previous census","1956","Co. Kildare","Number","-522"
"Actual change since previous census","1956","Co. Kilkenny","Number","-1146"
"Actual change since previous census","1956","Co. Laois","Number","-1343"
"Actual change since previous census","1956","Co. Leitrim","Number","-4153"
"Actual change since previous census","1956","Co. Limerick","Number","-3358"
"Actual change since previous census","1956","Co. Longford","Number","-1584"
"Actual change since previous census","1956","Co. Louth","Number","423"
"Actual change since previous census","1956","Co. Mayo","Number","-8815"
"Actual change since previous census","1956","Co. Meath","Number","425"
"Actual change since previous census","1956","Co. Monaghan","Number","-3281"
"Actual change since previous census","1956","Co. Offaly","Number","-574"
"Actual change since previous census","1956","Co. Roscommon","Number","-4392"
"Actual change since previous census","1956","Co. Sligo","Number","-3663"
"Actual change since previous census","1956","Co. Tipperary","Number","-3898"
"Actual change since previous census","1956","Co. Waterford","Number","-1030"
"Actual change since previous census","1956","Co. Westmeath","Number","-341"
"Actual change since previous census","1956","Co. Wexford","Number","-2773"
"Actual change since previous census","1956","Co. Wicklow","Number","-2684"
"Actual change since previous census","1961","Ireland","Number","-79923"
"Actual change since previous census","1961","Co. Carlow","Number","-546"
"Actual change since previous census","1961","Co. Cavan","Number","-5146"
"Actual change since previous census","1961","Co. Clare","Number","-3474"
"Actual change since previous census","1961","Co. Cork","Number","-6220"
"Actual change since previous census","1961","Co. Donegal","Number","-8217"
"Actual change since previous census","1961","Co. Dublin","Number","12551"
"Actual change since previous census","1961","Co. Galway","Number","-5666"
"Actual change since previous census","1961","Co. Kerry","Number","-5614"
"Actual change since previous census","1961","Co. Kildare","Number","-1495"
"Actual change since previous census","1961","Co. Kilkenny","Number","-2421"
"Actual change since previous census","1961","Co. Laois","Number","-2018"
"Actual change since previous census","1961","Co. Leitrim","Number","-3586"
"Actual change since previous census","1961","Co. Limerick","Number","-4542"
"Actual change since previous census","1961","Co. Longford","Number","-2326"
"Actual change since previous census","1961","Co. Louth","Number","-1816"
"Actual change since previous census","1961","Co. Mayo","Number","-9722"
"Actual change since previous census","1961","Co. Meath","Number","-1640"
"Actual change since previous census","1961","Co. Monaghan","Number","-4976"
"Actual change since previous census","1961","Co. Offaly","Number","-437"
"Actual change since previous census","1961","Co. Roscommon","Number","-4493"
"Actual change since previous census","1961","Co. Sligo","Number","-3289"
"Actual change since previous census","1961","Co. Tipperary","Number","-5593"
"Actual change since previous census","1961","Co. Waterford","Number","-2592"
"Actual change since previous census","1961","Co. Westmeath","Number","-1261"
"Actual change since previous census","1961","Co. Wexford","Number","-3951"
"Actual change since previous census","1961","Co. Wicklow","Number","-1433"
"Actual change since previous census","1966","Ireland","Number","65661"
"Actual change since previous census","1966","Co. Carlow","Number","251"
"Actual change since previous census","1966","Co. Cavan","Number","-2572"
"Actual change since previous census","1966","Co. Clare","Number","-105"
"Actual change since previous census","1966","Co. Cork","Number","9260"
"Actual change since previous census","1966","Co. Donegal","Number","-5293"
"Actual change since previous census","1966","Co. Dublin","Number","76715"
"Actual change since previous census","1966","Co. Galway","Number","-1547"
"Actual change since previous census","1966","Co. Kerry","Number","-3673"
"Actual change since previous census","1966","Co. Kildare","Number","1984"
"Actual change since previous census","1966","Co. Kilkenny","Number","-1205"
"Actual change since previous census","1966","Co. Laois","Number","-474"
"Actual change since previous census","1966","Co. Leitrim","Number","-2898"
"Actual change since previous census","1966","Co. Limerick","Number","4018"
"Actual change since previous census","1966","Co. Longford","Number","-1654"
"Actual change since previous census","1966","Co. Louth","Number","2141"
"Actual change since previous census","1966","Co. Mayo","Number","-7783"
"Actual change since previous census","1966","Co. Meath","Number","2201"
"Actual change since previous census","1966","Co. Monaghan","Number","-1356"
"Actual change since previous census","1966","Co. Offaly","Number","184"
"Actual change since previous census","1966","Co. Roscommon","Number","-2989"
"Actual change since previous census","1966","Co. Sligo","Number","-2298"
"Actual change since previous census","1966","Co. Tipperary","Number","-1010"
"Actual change since previous census","1966","Co. Waterford","Number","1641"
"Actual change since previous census","1966","Co. Westmeath","Number","39"
"Actual change since previous census","1966","Co. Wexford","Number","129"
"Actual change since previous census","1966","Co. Wicklow","Number","1955"
"Actual change since previous census","1971","Ireland","Number","94246"
"Actual change since previous census","1971","Co. Carlow","Number","644"
"Actual change since previous census","1971","Co. Cavan","Number","-1404"
"Actual change since previous census","1971","Co. Clare","Number","1411"
"Actual change since previous census","1971","Co. Cork","Number","13180"
"Actual change since previous census","1971","Co. Donegal","Number","-205"
"Actual change since previous census","1971","Co. Dublin","Number","57172"
"Actual change since previous census","1971","Co. Galway","Number","883"
"Actual change since previous census","1971","Co. Kerry","Number","-13"
"Actual change since previous census","1971","Co. Kildare","Number","5573"
"Actual change since previous census","1971","Co. Kilkenny","Number","1010"
"Actual change since previous census","1971","Co. Laois","Number","664"
"Actual change since previous census","1971","Co. Leitrim","Number","-2212"
"Actual change since previous census","1971","Co. Limerick","Number","3102"
"Actual change since previous census","1971","Co. Longford","Number","-739"
"Actual change since previous census","1971","Co. Louth","Number","5432"
"Actual change since previous census","1971","Co. Mayo","Number","-6022"
"Actual change since previous census","1971","Co. Meath","Number","4406"
"Actual change since previous census","1971","Co. Monaghan","Number","510"
"Actual change since previous census","1971","Co. Offaly","Number","112"
"Actual change since previous census","1971","Co. Roscommon","Number","-2709"
"Actual change since previous census","1971","Co. Sligo","Number","-988"
"Actual change since previous census","1971","Co. Tipperary","Number","753"
"Actual change since previous census","1971","Co. Waterford","Number","4235"
"Actual change since previous census","1971","Co. Westmeath","Number","670"
"Actual change since previous census","1971","Co. Wexford","Number","2914"
"Actual change since previous census","1971","Co. Wicklow","Number","5867"
"Actual change since previous census","1979","Ireland","Number","389969"
"Actual change since previous census","1979","Co. Carlow","Number","4431"
"Actual change since previous census","1979","Co. Cavan","Number","1102"
"Actual change since previous census","1979","Co. Clare","Number","9911"
"Actual change since previous census","1979","Co. Cork","Number","43235"
"Actual change since previous census","1979","Co. Donegal","Number","13597"
"Actual change since previous census","1979","Co. Dublin","Number","131464"
"Actual change since previous census","1979","Co. Galway","Number","18615"
"Actual change since previous census","1979","Co. Kerry","Number","7584"
"Actual change since previous census","1979","Co. Kildare","Number","25208"
"Actual change since previous census","1979","Co. Kilkenny","Number","7683"
"Actual change since previous census","1979","Co. Laois","Number","4677"
"Actual change since previous census","1979","Co. Leitrim","Number","-516"
"Actual change since previous census","1979","Co. Limerick","Number","16948"
"Actual change since previous census","1979","Co. Longford","Number","2535"
"Actual change since previous census","1979","Co. Louth","Number","11184"
"Actual change since previous census","1979","Co. Mayo","Number","4494"
"Actual change since previous census","1979","Co. Meath","Number","18986"
"Actual change since previous census","1979","Co. Monaghan","Number","4134"
"Actual change since previous census","1979","Co. Offaly","Number","5513"
"Actual change since previous census","1979","Co. Roscommon","Number","670"
"Actual change since previous census","1979","Co. Sligo","Number","4335"
"Actual change since previous census","1979","Co. Tipperary","Number","10176"
"Actual change since previous census","1979","Co. Waterford","Number","9963"
"Actual change since previous census","1979","Co. Westmeath","Number","6315"
"Actual change since previous census","1979","Co. Wexford","Number","10070"
"Actual change since previous census","1979","Co. Wicklow","Number","17655"
"Actual change since previous census","1981","Ireland","Number","75188"
"Actual change since previous census","1981","Co. Carlow","Number","1152"
"Actual change since previous census","1981","Co. Cavan","Number","135"
"Actual change since previous census","1981","Co. Clare","Number","2648"
"Actual change since previous census","1981","Co. Cork","Number","6347"
"Actual change since previous census","1981","Co. Donegal","Number","3171"
"Actual change since previous census","1981","Co. Dublin","Number","19481"
"Actual change since previous census","1981","Co. Galway","Number","4180"
"Actual change since previous census","1981","Co. Kerry","Number","2414"
"Actual change since previous census","1981","Co. Kildare","Number","6937"
"Actual change since previous census","1981","Co. Kilkenny","Number","1650"
"Actual change since previous census","1981","Co. Laois","Number","1235"
"Actual change since previous census","1981","Co. Leitrim","Number","-235"
"Actual change since previous census","1981","Co. Limerick","Number","4254"
"Actual change since previous census","1981","Co. Longford","Number","355"
"Actual change since previous census","1981","Co. Louth","Number","2379"
"Actual change since previous census","1981","Co. Mayo","Number","747"
"Actual change since previous census","1981","Co. Meath","Number","4704"
"Actual change since previous census","1981","Co. Monaghan","Number","816"
"Actual change since previous census","1981","Co. Offaly","Number","970"
"Actual change since previous census","1981","Co. Roscommon","Number","354"
"Actual change since previous census","1981","Co. Sligo","Number","864"
"Actual change since previous census","1981","Co. Tipperary","Number","1520"
"Actual change since previous census","1981","Co. Waterford","Number","1313"
"Actual change since previous census","1981","Co. Westmeath","Number","1638"
"Actual change since previous census","1981","Co. Wexford","Number","2660"
"Actual change since previous census","1981","Co. Wicklow","Number","3499"
"Actual change since previous census","1986","Ireland","Number","97238"
"Actual change since previous census","1986","Co. Carlow","Number","1168"
"Actual change since previous census","1986","Co. Cavan","Number","110"
"Actual change since previous census","1986","Co. Clare","Number","3777"
"Actual change since previous census","1986","Co. Cork","Number","10270"
"Actual change since previous census","1986","Co. Donegal","Number","4552"
"Actual change since previous census","1986","Co. Dublin","Number","18285"
"Actual change since previous census","1986","Co. Galway","Number","6534"
"Actual change since previous census","1986","Co. Kerry","Number","1389"
"Actual change since previous census","1986","Co. Kildare","Number","12125"
"Actual change since previous census","1986","Co. Kilkenny","Number","2380"
"Actual change since previous census","1986","Co. Laois","Number","2113"
"Actual change since previous census","1986","Co. Leitrim","Number","-574"
"Actual change since previous census","1986","Co. Limerick","Number","2908"
"Actual change since previous census","1986","Co. Longford","Number","356"
"Actual change since previous census","1986","Co. Louth","Number","3296"
"Actual change since previous census","1986","Co. Mayo","Number","418"
"Actual change since previous census","1986","Co. Meath","Number","8462"
"Actual change since previous census","1986","Co. Monaghan","Number","1187"
"Actual change since previous census","1986","Co. Offaly","Number","1523"
"Actual change since previous census","1986","Co. Roscommon","Number","49"
"Actual change since previous census","1986","Co. Sligo","Number","572"
"Actual change since previous census","1986","Co. Tipperary","Number","1358"
"Actual change since previous census","1986","Co. Waterford","Number","2560"
"Actual change since previous census","1986","Co. Westmeath","Number","1856"
"Actual change since previous census","1986","Co. Wexford","Number","3471"
"Actual change since previous census","1986","Co. Wicklow","Number","7093"
"Actual change since previous census","1991","Ireland","Number","-14924"
"Actual change since previous census","1991","Co. Carlow","Number","-46"
"Actual change since previous census","1991","Co. Cavan","Number","-1169"
"Actual change since previous census","1991","Co. Clare","Number","-426"
"Actual change since previous census","1991","Co. Cork","Number","-2366"
"Actual change since previous census","1991","Co. Donegal","Number","-1547"
"Actual change since previous census","1991","Co. Dublin","Number","3855"
"Actual change since previous census","1991","Co. Galway","Number","1812"
"Actual change since previous census","1991","Co. Kerry","Number","-2265"
"Actual change since previous census","1991","Co. Kildare","Number","6409"
"Actual change since previous census","1991","Co. Kilkenny","Number","449"
"Actual change since previous census","1991","Co. Laois","Number","-970"
"Actual change since previous census","1991","Co. Leitrim","Number","-1734"
"Actual change since previous census","1991","Co. Limerick","Number","-2613"
"Actual change since previous census","1991","Co. Longford","Number","-1200"
"Actual change since previous census","1991","Co. Louth","Number","-1086"
"Actual change since previous census","1991","Co. Mayo","Number","-4471"
"Actual change since previous census","1991","Co. Meath","Number","1489"
"Actual change since previous census","1991","Co. Monaghan","Number","-1086"
"Actual change since previous census","1991","Co. Offaly","Number","-1341"
"Actual change since previous census","1991","Co. Roscommon","Number","-2695"
"Actual change since previous census","1991","Co. Sligo","Number","-1290"
"Actual change since previous census","1991","Co. Tipperary","Number","-3847"
"Actual change since previous census","1991","Co. Waterford","Number","473"
"Actual change since previous census","1991","Co. Westmeath","Number","-1499"
"Actual change since previous census","1991","Co. Wexford","Number","-483"
"Actual change since previous census","1991","Co. Wicklow","Number","2723"
"Actual change since previous census","1996","Ireland","Number","100368"
"Actual change since previous census","1996","Co. Carlow","Number","674"
"Actual change since previous census","1996","Co. Cavan","Number","148"
"Actual change since previous census","1996","Co. Clare","Number","3088"
"Actual change since previous census","1996","Co. Cork","Number","10141"
"Actual change since previous census","1996","Co. Donegal","Number","1877"
"Actual change since previous census","1996","Co. Dublin","Number","32960"
"Actual change since previous census","1996","Co. Galway","Number","8490"
"Actual change since previous census","1996","Co. Kerry","Number","4236"
"Actual change since previous census","1996","Co. Kildare","Number","12336"
"Actual change since previous census","1996","Co. Kilkenny","Number","1701"
"Actual change since previous census","1996","Co. Laois","Number","631"
"Actual change since previous census","1996","Co. Leitrim","Number","-244"
"Actual change since previous census","1996","Co. Limerick","Number","3086"
"Actual change since previous census","1996","Co. Longford","Number","-130"
"Actual change since previous census","1996","Co. Louth","Number","1442"
"Actual change since previous census","1996","Co. Mayo","Number","811"
"Actual change since previous census","1996","Co. Meath","Number","4362"
"Actual change since previous census","1996","Co. Monaghan","Number","20"
"Actual change since previous census","1996","Co. Offaly","Number","623"
"Actual change since previous census","1996","Co. Roscommon","Number","78"
"Actual change since previous census","1996","Co. Sligo","Number","1065"
"Actual change since previous census","1996","Co. Tipperary","Number","763"
"Actual change since previous census","1996","Co. Waterford","Number","3056"
"Actual change since previous census","1996","Co. Westmeath","Number","1434"
"Actual change since previous census","1996","Co. Wexford","Number","2302"
"Actual change since previous census","1996","Co. Wicklow","Number","5418"
"Actual change since previous census","2002","Ireland","Number","291116"
"Actual change since previous census","2002","Co. Carlow","Number","4398"
"Actual change since previous census","2002","Co. Cavan","Number","3602"
"Actual change since previous census","2002","Co. Clare","Number","9271"
"Actual change since previous census","2002","Co. Cork","Number","27319"
"Actual change since previous census","2002","Co. Donegal","Number","7581"
"Actual change since previous census","2002","Co. Dublin","Number","64557"
"Actual change since previous census","2002","Co. Galway","Number","20223"
"Actual change since previous census","2002","Co. Kerry","Number","6397"
"Actual change since previous census","2002","Co. Kildare","Number","28952"
"Actual change since previous census","2002","Co. Kilkenny","Number","5003"
"Actual change since previous census","2002","Co. Laois","Number","5829"
"Actual change since previous census","2002","Co. Leitrim","Number","742"
"Actual change since previous census","2002","Co. Limerick","Number","10262"
"Actual change since previous census","2002","Co. Longford","Number","902"
"Actual change since previous census","2002","Co. Louth","Number","9655"
"Actual change since previous census","2002","Co. Mayo","Number","5922"
"Actual change since previous census","2002","Co. Meath","Number","24273"
"Actual change since previous census","2002","Co. Monaghan","Number","1280"
"Actual change since previous census","2002","Co. Offaly","Number","4546"
"Actual change since previous census","2002","Co. Roscommon","Number","1799"
"Actual change since previous census","2002","Co. Sligo","Number","2379"
"Actual change since previous census","2002","Co. Tipperary","Number","6596"
"Actual change since previous census","2002","Co. Waterford","Number","6866"
"Actual change since previous census","2002","Co. Westmeath","Number","8544"
"Actual change since previous census","2002","Co. Wexford","Number","12225"
"Actual change since previous census","2002","Co. Wicklow","Number","11993"
"Actual change since previous census","2006","Ireland","Number","322645"
"Actual change since previous census","2006","Co. Carlow","Number","4335"
"Actual change since previous census","2006","Co. Cavan","Number","7457"
"Actual change since previous census","2006","Co. Clare","Number","7673"
"Actual change since previous census","2006","Co. Cork","Number","33466"
"Actual change since previous census","2006","Co. Donegal","Number","9689"
"Actual change since previous census","2006","Co. Dublin","Number","64355"
"Actual change since previous census","2006","Co. Galway","Number","22593"
"Actual change since previous census","2006","Co. Kerry","Number","7308"
"Actual change since previous census","2006","Co. Kildare","Number","22391"
"Actual change since previous census","2006","Co. Kilkenny","Number","7219"
"Actual change since previous census","2006","Co. Laois","Number","8285"
"Actual change since previous census","2006","Co. Leitrim","Number","3151"
"Actual change since previous census","2006","Co. Limerick","Number","8751"
"Actual change since previous census","2006","Co. Longford","Number","3323"
"Actual change since previous census","2006","Co. Louth","Number","9446"
"Actual change since previous census","2006","Co. Mayo","Number","6393"
"Actual change since previous census","2006","Co. Meath","Number","28826"
"Actual change since previous census","2006","Co. Monaghan","Number","3404"
"Actual change since previous census","2006","Co. Offaly","Number","7205"
"Actual change since previous census","2006","Co. Roscommon","Number","4994"
"Actual change since previous census","2006","Co. Sligo","Number","2694"
"Actual change since previous census","2006","Co. Tipperary","Number","9113"
"Actual change since previous census","2006","Co. Waterford","Number","6415"
"Actual change since previous census","2006","Co. Westmeath","Number","7488"
"Actual change since previous census","2006","Co. Wexford","Number","15153"
"Actual change since previous census","2006","Co. Wicklow","Number","11518"
"Actual change since previous census","2011","Ireland","Number","348404"
"Actual change since previous census","2011","Co. Carlow","Number","4263"
"Actual change since previous census","2011","Co. Cavan","Number","9180"
"Actual change since previous census","2011","Co. Clare","Number","6246"
"Actual change since previous census","2011","Co. Cork","Number","37737"
"Actual change since previous census","2011","Co. Donegal","Number","13873"
"Actual change since previous census","2011","Co. Dublin","Number","85893"
"Actual change since previous census","2011","Co. Galway","Number","18983"
"Actual change since previous census","2011","Co. Kerry","Number","5667"
"Actual change since previous census","2011","Co. Kildare","Number","23977"
"Actual change since previous census","2011","Co. Kilkenny","Number","7861"
"Actual change since previous census","2011","Co. Laois","Number","13500"
"Actual change since previous census","2011","Co. Leitrim","Number","2848"
"Actual change since previous census","2011","Co. Limerick","Number","7754"
"Actual change since previous census","2011","Co. Longford","Number","4609"
"Actual change since previous census","2011","Co. Louth","Number","11630"
"Actual change since previous census","2011","Co. Mayo","Number","6799"
"Actual change since previous census","2011","Co. Meath","Number","21304"
"Actual change since previous census","2011","Co. Monaghan","Number","4486"
"Actual change since previous census","2011","Co. Offaly","Number","5819"
"Actual change since previous census","2011","Co. Roscommon","Number","5297"
"Actual change since previous census","2011","Co. Sligo","Number","4499"
"Actual change since previous census","2011","Co. Tipperary","Number","9510"
"Actual change since previous census","2011","Co. Waterford","Number","5834"
"Actual change since previous census","2011","Co. Westmeath","Number","6818"
"Actual change since previous census","2011","Co. Wexford","Number","13571"
"Actual change since previous census","2011","Co. Wicklow","Number","10446"
"Actual change since previous census","2016","Ireland","Number","173613"
"Actual change since previous census","2016","Co. Carlow","Number","2320"
"Actual change since previous census","2016","Co. Cavan","Number","2993"
"Actual change since previous census","2016","Co. Clare","Number","1621"
"Actual change since previous census","2016","Co. Cork","Number","23836"
"Actual change since previous census","2016","Co. Donegal","Number","-1945"
"Actual change since previous census","2016","Co. Dublin","Number","74290"
"Actual change since previous census","2016","Co. Galway","Number","7405"
"Actual change since previous census","2016","Co. Kerry","Number","2205"
"Actual change since previous census","2016","Co. Kildare","Number","12192"
"Actual change since previous census","2016","Co. Kilkenny","Number","3813"
"Actual change since previous census","2016","Co. Laois","Number","4138"
"Actual change since previous census","2016","Co. Leitrim","Number","246"
"Actual change since previous census","2016","Co. Limerick","Number","3090"
"Actual change since previous census","2016","Co. Longford","Number","1873"
"Actual change since previous census","2016","Co. Louth","Number","5987"
"Actual change since previous census","2016","Co. Mayo","Number","-131"
"Actual change since previous census","2016","Co. Meath","Number","10909"
"Actual change since previous census","2016","Co. Monaghan","Number","903"
"Actual change since previous census","2016","Co. Offaly","Number","1274"
"Actual change since previous census","2016","Co. Roscommon","Number","479"
"Actual change since previous census","2016","Co. Sligo","Number","142"
"Actual change since previous census","2016","Co. Tipperary","Number","799"
"Actual change since previous census","2016","Co. Waterford","Number","2381"
"Actual change since previous census","2016","Co. Westmeath","Number","2606"
"Actual change since previous census","2016","Co. Wexford","Number","4402"
"Actual change since previous census","2016","Co. Wicklow","Number","5785"
"Actual change since previous census","2022","Ireland","Number","361671"
"Actual change since previous census","2022","Co. Carlow","Number","4999"
"Actual change since previous census","2022","Co. Cavan","Number","5025"
"Actual change since previous census","2022","Co. Clare","Number","8602"
"Actual change since previous census","2022","Co. Cork","Number","38363"
"Actual change since previous census","2022","Co. Donegal","Number","7129"
"Actual change since previous census","2022","Co. Dublin","Number","103342"
"Actual change since previous census","2022","Co. Galway","Number","18393"
"Actual change since previous census","2022","Co. Kerry","Number","7551"
"Actual change since previous census","2022","Co. Kildare","Number","24473"
"Actual change since previous census","2022","Co. Kilkenny","Number","4453"
"Actual change since previous census","2022","Co. Laois","Number","6960"
"Actual change since previous census","2022","Co. Leitrim","Number","3043"
"Actual change since previous census","2022","Co. Limerick","Number","10545"
"Actual change since previous census","2022","Co. Longford","Number","5761"
"Actual change since previous census","2022","Co. Louth","Number","10216"
"Actual change since previous census","2022","Co. Mayo","Number","6724"
"Actual change since previous census","2022","Co. Meath","Number","25252"
"Actual change since previous census","2022","Co. Monaghan","Number","3446"
"Actual change since previous census","2022","Co. Offaly","Number","4707"
"Actual change since previous census","2022","Co. Roscommon","Number","5451"
"Actual change since previous census","2022","Co. Sligo","Number","4284"
"Actual change since previous census","2022","Co. Tipperary","Number","8108"
"Actual change since previous census","2022","Co. Waterford","Number","10909"
"Actual change since previous census","2022","Co. Westmeath","Number","7070"
"Actual change since previous census","2022","Co. Wexford","Number","13805"
"Actual change since previous census","2022","Co. Wicklow","Number","13060"
"Percentage change since previous census","1926","Ireland","%","-6"
"Percentage change since previous census","1926","Co. Carlow","%","-5.4"
"Percentage change since previous census","1926","Co. Cavan","%","-11.8"
"Percentage change since previous census","1926","Co. Clare","%","-10.7"
"Percentage change since previous census","1926","Co. Cork","%","-7.8"
"Percentage change since previous census","1926","Co. Donegal","%","-11.7"
"Percentage change since previous census","1926","Co. Dublin","%","5.3"
"Percentage change since previous census","1926","Co. Galway","%","-8.2"
"Percentage change since previous census","1926","Co. Kerry","%","-7.6"
"Percentage change since previous census","1926","Co. Kildare","%","-17.4"
"Percentage change since previous census","1926","Co. Kilkenny","%","-5.9"
"Percentage change since previous census","1926","Co. Laois","%","-6.4"
"Percentage change since previous census","1926","Co. Leitrim","%","-15.9"
"Percentage change since previous census","1926","Co. Limerick","%","-2"
"Percentage change since previous census","1926","Co. Longford","%","-11.1"
"Percentage change since previous census","1926","Co. Louth","%","-1.5"
"Percentage change since previous census","1926","Co. Mayo","%","-12.7"
"Percentage change since previous census","1926","Co. Meath","%","-3.5"
"Percentage change since previous census","1926","Co. Monaghan","%","-10.8"
"Percentage change since previous census","1926","Co. Offaly","%","-8.8"
"Percentage change since previous census","1926","Co. Roscommon","%","-14.2"
"Percentage change since previous census","1926","Co. Sligo","%","-12"
"Percentage change since previous census","1926","Co. Tipperary","%","-7.5"
"Percentage change since previous census","1926","Co. Waterford","%","-7.4"
"Percentage change since previous census","1926","Co. Westmeath","%","-5.9"
"Percentage change since previous census","1926","Co. Wexford","%","-7.2"
"Percentage change since previous census","1926","Co. Wicklow","%","-5.7"
"Percentage change since previous census","1936","Ireland","%","-0.1"
"Percentage change since previous census","1936","Co. Carlow","%","-0.1"
"Percentage change since previous census","1936","Co. Cavan","%","-7"
"Percentage change since previous census","1936","Co. Clare","%","-5.5"
"Percentage change since previous census","1936","Co. Cork","%","-2.7"
"Percentage change since previous census","1936","Co. Donegal","%","-6.7"
"Percentage change since previous census","1936","Co. Dublin","%","16.1"
"Percentage change since previous census","1936","Co. Galway","%","-0.7"
"Percentage change since previous census","1936","Co. Kerry","%","-6.3"
"Percentage change since previous census","1936","Co. Kildare","%","-0.2"
"Percentage change since previous census","1936","Co. Kilkenny","%","-3.3"
"Percentage change since previous census","1936","Co. Laois","%","-2.8"
"Percentage change since previous census","1936","Co. Leitrim","%","-8.9"
"Percentage change since previous census","1936","Co. Limerick","%","0.6"
"Percentage change since previous census","1936","Co. Longford","%","-5"
"Percentage change since previous census","1936","Co. Louth","%","2.6"
"Percentage change since previous census","1936","Co. Mayo","%","-6.6"
"Percentage change since previous census","1936","Co. Meath","%","-2.5"
"Percentage change since previous census","1936","Co. Monaghan","%","-5.9"
"Percentage change since previous census","1936","Co. Offaly","%","-2.4"
"Percentage change since previous census","1936","Co. Roscommon","%","-7.2"
"Percentage change since previous census","1936","Co. Sligo","%","-5.5"
"Percentage change since previous census","1936","Co. Tipperary","%","-2.3"
"Percentage change since previous census","1936","Co. Waterford","%","-1.2"
"Percentage change since previous census","1936","Co. Westmeath","%","-3.7"
"Percentage change since previous census","1936","Co. Wexford","%","-1.7"
"Percentage change since previous census","1936","Co. Wicklow","%","1.7"
"Percentage change since previous census","1946","Ireland","%","-0.4"
"Percentage change since previous census","1946","Co. Carlow","%","-1.1"
"Percentage change since previous census","1946","Co. Cavan","%","-8.2"
"Percentage change since previous census","1946","Co. Clare","%","-5.4"
"Percentage change since previous census","1946","Co. Cork","%","-3.5"
"Percentage change since previous census","1946","Co. Donegal","%","-4.2"
"Percentage change since previous census","1946","Co. Dublin","%","8.4"
"Percentage change since previous census","1946","Co. Galway","%","-1.8"
"Percentage change since previous census","1946","Co. Kerry","%","-4.2"
"Percentage change since previous census","1946","Co. Kildare","%","12"
"Percentage change since previous census","1946","Co. Kilkenny","%","-2.8"
"Percentage change since previous census","1946","Co. Laois","%","-0.8"
"Percentage change since previous census","1946","Co. Leitrim","%","-12.4"
"Percentage change since previous census","1946","Co. Limerick","%","1"
"Percentage change since previous census","1946","Co. Longford","%","-4.3"
"Percentage change since previous census","1946","Co. Louth","%","2.9"
"Percentage change since previous census","1946","Co. Mayo","%","-8.2"
"Percentage change since previous census","1946","Co. Meath","%","7.9"
"Percentage change since previous census","1946","Co. Monaghan","%","-6.6"
"Percentage change since previous census","1946","Co. Offaly","%","4.6"
"Percentage change since previous census","1946","Co. Roscommon","%","-6.5"
"Percentage change since previous census","1946","Co. Sligo","%","-7.5"
"Percentage change since previous census","1946","Co. Tipperary","%","-1.3"
"Percentage change since previous census","1946","Co. Waterford","%","-1.9"
"Percentage change since previous census","1946","Co. Westmeath","%","0.4"
"Percentage change since previous census","1946","Co. Wexford","%","-2.5"
"Percentage change since previous census","1946","Co. Wicklow","%","3.2"
"Percentage change since previous census","1951","Ireland","%","0.2"
"Percentage change since previous census","1951","Co. Carlow","%","0.2"
"Percentage change since previous census","1951","Co. Cavan","%","-5.7"
"Percentage change since previous census","1951","Co. Clare","%","-4.4"
"Percentage change since previous census","1951","Co. Cork","%","-0.7"
"Percentage change since previous census","1951","Co. Donegal","%","-3.5"
"Percentage change since previous census","1951","Co. Dublin","%","8.9"
"Percentage change since previous census","1951","Co. Galway","%","-3"
"Percentage change since previous census","1951","Co. Kerry","%","-5.4"
"Percentage change since previous census","1951","Co. Kildare","%","2.4"
"Percentage change since previous census","1951","Co. Kilkenny","%","-2.2"
"Percentage change since previous census","1951","Co. Laois","%","-2.5"
"Percentage change since previous census","1951","Co. Leitrim","%","-7.6"
"Percentage change since previous census","1951","Co. Limerick","%","-0.9"
"Percentage change since previous census","1951","Co. Longford","%","-4.6"
"Percentage change since previous census","1951","Co. Louth","%","3.9"
"Percentage change since previous census","1951","Co. Mayo","%","-4.2"
"Percentage change since previous census","1951","Co. Meath","%","0.2"
"Percentage change since previous census","1951","Co. Monaghan","%","-3.3"
"Percentage change since previous census","1951","Co. Offaly","%","-2.1"
"Percentage change since previous census","1951","Co. Roscommon","%","-6.1"
"Percentage change since previous census","1951","Co. Sligo","%","-3"
"Percentage change since previous census","1951","Co. Tipperary","%","-2"
"Percentage change since previous census","1951","Co. Waterford","%","-1.4"
"Percentage change since previous census","1951","Co. Westmeath","%","-0.9"
"Percentage change since previous census","1951","Co. Wexford","%","-2"
"Percentage change since previous census","1951","Co. Wicklow","%","3.5"
"Percentage change since previous census","1956","Ireland","%","-2.1"
"Percentage change since previous census","1956","Co. Carlow","%","-0.8"
"Percentage change since previous census","1956","Co. Cavan","%","-7"
"Percentage change since previous census","1956","Co. Clare","%","-5.1"
"Percentage change since previous census","1956","Co. Cork","%","-1.4"
"Percentage change since previous census","1956","Co. Donegal","%","-7.2"
"Percentage change since previous census","1956","Co. Dublin","%","1.8"
"Percentage change since previous census","1956","Co. Galway","%","-2.9"
"Percentage change since previous census","1956","Co. Kerry","%","-3.6"
"Percentage change since previous census","1956","Co. Kildare","%","-0.8"
"Percentage change since previous census","1956","Co. Kilkenny","%","-1.8"
"Percentage change since previous census","1956","Co. Laois","%","-2.8"
